material,x,y,z,photons,electrons,SL,E
scintillator,0,2,33,False,False,False,False
scintillator,0,2,34,True,False,False,False
scintillator,0,2,35,False,False,True,True
scintillator,0,2,36,False,False,True,True
scintillator,0,2,37,False,False,True,True
scintillator,0,2,38,False,False,True,False
scintillator,0,2,39,False,False,True,False
scintillator,0,2,40,False,True,True,False
scintillator,0,2,41,False,True,True,True
scintillator,0,2,42,False,False,True,True
scintillator,0,2,43,False,False,True,True
scintillator,0,2,44,False,True,True,True
scintillator,0,2,45,False,False,True,True
scintillator,0,2,46,False,False,True,False
scintillator,0,2,47,False,True,True,True
scintillator,0,2,48,False,True,True,True
scintillator,0,2,49,False,False,True,True
scintillator,0,2,50,False,True,True,True
scintillator,0,2,51,False,False,True,False
scintillator,0,2,52,False,False,True,True
scintillator,0,2,53,False,True,True,True
scintillator,0,2,54,False,False,True,True
scintillator,0,2,55,False,False,True,False
scintillator,0,2,56,False,False,True,False
scintillator,0,2,57,False,True,True,True
scintillator,0,2,58,False,True,True,True
scintillator,0,2,59,False,False,True,True
scintillator,0,2,60,False,True,True,False
scintillator,0,2,61,False,True,True,False
scintillator,0,2,62,False,False,True,True
scintillator,0,2,63,False,True,True,False
scintillator,0,2,64,False,False,True,False
scintillator,0,2,65,False,True,True,False
scintillator,0,2,66,False,True,True,False
scintillator,0,3,0,False,False,True,False
scintillator,0,3,1,False,False,True,False
scintillator,0,3,2,False,False,True,False
scintillator,0,3,3,False,True,True,False
scintillator,0,3,4,True,False,True,False
scintillator,0,3,5,False,False,True,False
scintillator,0,3,6,False,False,True,False
scintillator,0,3,7,True,True,True,False
scintillator,0,3,8,True,True,True,False
scintillator,0,3,9,False,False,True,False
scintillator,0,3,10,False,True,True,False
scintillator,0,3,11,True,False,False,False
scintillator,0,3,12,False,False,False,False
scintillator,0,3,13,True,True,False,False
scintillator,0,3,14,True,True,False,False
scintillator,0,3,15,False,True,False,False
scintillator,0,3,16,True,True,True,False
scintillator,0,3,17,False,False,True,False
scintillator,0,3,18,False,False,True,False
scintillator,0,3,19,False,True,True,False
scintillator,0,3,20,False,True,True,False
scintillator,0,3,21,False,True,False,False
